SID,model
SID-109676,Senograph DS VERSION ADS_54.11
SID-109682,Senographe Essential VERSION ADS_54.11
SID-109688,Senographe Essential VERSION ADS_54.11
SID-109709,Senograph DS VERSION ADS_54.11
SID-109755,Senograph DS ADS_43.10.1
SID-109778,Senographe Essential VERSION ADS_54.11
SID-109786,Senograph DS ADS_43.10.1
SID-109797,Senographe Essential VERSION ADS_54.11
SID-109813,Senograph DS VERSION ADS_54.11
SID-109823,Senographe Essential VERSION ADS_54.11
SID-109826,Senographe Essential VERSION ADS_54.11
SID-109833,Senographe Essential VERSION ADS_54.11
SID-109837,Senograph DS VERSION ADS_54.11
SID-109845,Senograph DS VERSION ADS_54.11
SID-109847,Senographe Essential VERSION ADS_54.11
SID-109849,Senograph DS VERSION ADS_54.11
SID-109851,Senograph DS VERSION ADS_54.11
SID-109870,Senographe Essential VERSION ADS_54.11
SID-109872,Senographe Essential VERSION ADS_54.11
SID-109886,Senograph DS ADS_43.10.1
SID-109888,Senographe Essential VERSION ADS_54.11
SID-109895,Senographe Essential VERSION ADS_54.11
SID-109900,Senographe Essential VERSION ADS_54.11
SID-109907,Senographe Essential VERSION ADS_54.11
SID-109910,Senographe Essential VERSION ADS_54.11
SID-109920,Senographe Essential VERSION ADS_54.11
SID-109946,Senographe Essential VERSION ADS_54.11
SID-109958,Senograph DS VERSION ADS_54.11
SID-109972,Senographe Essential VERSION ADS_54.11
SID-109974,Senographe Essential VERSION ADS_54.11
SID-109994,Senograph DS ADS_43.10.1
SID-110000,Senograph DS VERSION ADS_54.11
SID-110008,Senographe Essential VERSION ADS_54.11
SID-110011,Senographe Essential VERSION ADS_54.11
SID-110021,Senographe Essential VERSION ADS_54.11
SID-110042,Senograph DS VERSION ADS_54.11
SID-110043,Senographe Essential VERSION ADS_54.11
SID-110062,Senograph DS VERSION ADS_54.11
SID-110063,Senographe Essential VERSION ADS_54.11
SID-110066,Senographe Essential VERSION ADS_54.11
SID-110087,Senographe Essential VERSION ADS_54.11
SID-110088,Senograph DS VERSION ADS_54.11
SID-110100,Senograph DS VERSION ADS_54.11
SID-110126,Senographe Essential VERSION ADS_54.11
SID-110129,Senograph DS VERSION ADS_54.11
SID-110139,Senographe Essential VERSION ADS_54.11
SID-110146,Senographe Essential VERSION ADS_54.11
SID-110150,Senograph DS VERSION ADS_54.11
SID-110152,Senograph DS ADS_43.10.1
SID-110161,Senograph DS ADS_43.10.1
SID-110162,Senographe Essential VERSION ADS_54.11
SID-110200,Senograph DS VERSION ADS_54.11
SID-110217,Senographe Essential VERSION ADS_54.11
SID-110220,Senographe Essential VERSION ADS_54.11
SID-110246,Senograph DS ADS_43.10.1
SID-110261,Senographe Essential VERSION ADS_54.11
SID-110262,Senographe Essential VERSION ADS_54.11
SID-110268,Senograph DS VERSION ADS_54.11
SID-110303,Senographe Essential VERSION ADS_54.11
SID-110306,Senograph DS VERSION ADS_54.11
SID-110307,Senograph DS VERSION ADS_54.11
SID-110321,Senographe Essential VERSION ADS_54.11
SID-110338,Senographe Essential VERSION ADS_54.11
SID-110340,Senograph DS VERSION ADS_54.11
SID-110366,Senograph DS VERSION ADS_54.11
SID-110394,Senograph DS VERSION ADS_54.11
SID-110405,Senographe Essential VERSION ADS_54.11
SID-110413,Senograph DS VERSION ADS_54.11
SID-110417,Senograph DS VERSION ADS_54.11
SID-110452,Senograph DS VERSION ADS_54.11
SID-110463,Senograph DS VERSION ADS_54.11
SID-110476,Senograph DS ADS_43.10.1
SID-110482,Senograph DS VERSION ADS_54.11
SID-110502,Senographe Essential VERSION ADS_54.11
SID-110512,Senograph DS VERSION ADS_54.11
SID-110514,Senograph DS VERSION ADS_54.11
SID-110523,Senographe Essential VERSION ADS_54.11
SID-110527,Senograph DS VERSION ADS_54.11
SID-110597,Senographe Essential VERSION ADS_54.11
SID-110612,Senographe Essential VERSION ADS_54.11
SID-110614,Senographe Essential VERSION ADS_54.11
SID-110621,Senograph DS VERSION ADS_54.11
SID-110742,Senographe Essential VERSION ADS_54.11
SID-110751,Senographe Essential VERSION ADS_54.11
SID-110752,Senograph DS ADS_43.10.1
SID-110762,Senographe Essential VERSION ADS_54.11
SID-110772,Senograph DS ADS_43.10.1
SID-110789,Senographe Essential VERSION ADS_54.11
SID-110791,Senographe Essential VERSION ADS_54.11
SID-110796,Senographe Essential VERSION ADS_54.11
SID-110804,Senograph DS VERSION ADS_54.11
SID-110817,Senographe Essential VERSION ADS_54.11
SID-110831,Senographe Essential VERSION ADS_54.11
SID-110841,Senograph DS ADS_43.10.1
SID-110849,Senographe Essential VERSION ADS_54.11
SID-110852,Senographe Essential VERSION ADS_54.11
SID-110854,Senographe Essential VERSION ADS_54.11
SID-110863,Senograph DS VERSION ADS_54.11
SID-110903,Senograph DS VERSION ADS_54.11
SID-110924,Senograph DS ADS_43.10.1
SID-110944,Senograph DS VERSION ADS_54.11
SID-110976,Senographe Essential VERSION ADS_54.11
SID-111018,Senograph DS VERSION ADS_54.11
SID-111027,Senographe Essential VERSION ADS_54.11
SID-111037,Senograph DS VERSION ADS_54.11
SID-111040,Senograph DS VERSION ADS_54.11
SID-111049,Senograph DS VERSION ADS_54.11
SID-111064,Senographe Essential VERSION ADS_54.11
SID-111134,Senograph DS VERSION ADS_54.11
SID-111139,Senographe Essential VERSION ADS_54.11
SID-111159,Senographe Essential VERSION ADS_54.11
SID-111179,Senographe Essential VERSION ADS_54.11
SID-111210,Senographe Essential VERSION ADS_54.11
SID-111236,Senographe Essential VERSION ADS_54.11
SID-111258,Senograph DS VERSION ADS_54.11
SID-111266,Senographe Essential VERSION ADS_54.11
SID-111305,Senographe Essential VERSION ADS_54.11
SID-111311,Senographe Essential VERSION ADS_54.11
SID-111316,Senograph DS VERSION ADS_54.11
SID-111329,Senograph DS ADS_43.10.1
SID-111367,Senograph DS VERSION ADS_54.11
SID-111368,Senographe Essential VERSION ADS_54.11
